algorithm,num_procs,dtype,message_size_bytes,time_stat,time_seconds,algbw_GBps,busbw_GBps,num_reps
mpi-ring,4,float,32,stddev,1.32344e-06,0.0241793,0.036269,1000
mpi-ring,4,float,64,min,1.162e-06,0.0550775,0.0826162,1000
mpi-ring,4,float,64,mean,1.91834e-06,0.0333621,0.0500432,1000
mpi-ring,4,float,64,median,1.551e-06,0.0412637,0.0618956,1000
mpi-ring,4,float,64,max,0.000177579,0.000360403,0.000540604,1000
mpi-ring,4,float,64,stddev,5.97166e-06,0.0107173,0.0160759,1000
mpi-ring,4,float,128,min,1.163e-06,0.11006,0.16509,1000
mpi-ring,4,float,128,mean,1.82141e-06,0.070275,0.105413,1000
mpi-ring,4,float,128,median,1.5545e-06,0.0823416,0.123512,1000
mpi-ring,4,float,128,max,0.00010389,0.00123207,0.00184811,1000
mpi-ring,4,float,128,stddev,3.71283e-06,0.0344751,0.0517126,1000
mpi-ring,4,float,256,min,1.154e-06,0.221837,0.332756,1000
mpi-ring,4,float,256,mean,1.57917e-06,0.162111,0.243166,1000
mpi-ring,4,float,256,median,1.379e-06,0.185642,0.278463,1000
mpi-ring,4,float,256,max,3.1277e-05,0.00818493,0.0122774,1000
mpi-ring,4,float,256,stddev,1.86527e-06,0.137245,0.205868,1000
mpi-ring,4,float,512,min,1.272e-06,0.402516,0.603774,1000
mpi-ring,4,float,512,mean,1.58037e-06,0.323974,0.485962,1000
mpi-ring,4,float,512,median,1.461e-06,0.350445,0.525667,1000
mpi-ring,4,float,512,max,1.691e-05,0.0302779,0.0454169,1000
mpi-ring,4,float,512,stddev,1.07431e-06,0.476584,0.714876,1000
mpi-ring,4,float,1024,min,1.371e-06,0.7469,1.12035,1000
mpi-ring,4,float,1024,mean,1.78852e-06,0.572541,0.858811,1000
mpi-ring,4,float,1024,median,1.58e-06,0.648101,0.972152,1000
mpi-ring,4,float,1024,max,6.9574e-05,0.0147181,0.0220772,1000
mpi-ring,4,float,1024,stddev,2.37792e-06,0.430628,0.645942,1000
mpi-ring,4,float,2048,min,2.176e-06,0.941176,1.41176,1000
mpi-ring,4,float,2048,mean,2.48575e-06,0.823898,1.23585,1000
mpi-ring,4,float,2048,median,2.346e-06,0.872975,1.30946,1000
mpi-ring,4,float,2048,max,3.1233e-05,0.0655717,0.0983575,1000
mpi-ring,4,float,2048,stddev,1.35235e-06,1.5144,2.2716,1000
mpi-ring,4,float,4096,min,2.504e-06,1.63578,2.45367,1000
mpi-ring,4,float,4096,mean,2.85469e-06,1.43483,2.15225,1000
mpi-ring,4,float,4096,median,2.649e-06,1.54624,2.31937,1000
mpi-ring,4,float,4096,max,4.4831e-05,0.0913653,0.137048,1000
mpi-ring,4,float,4096,stddev,1.93116e-06,2.12101,3.18151,1000
mpi-ring,4,float,8192,min,3.348e-06,2.44683,3.67025,1000
mpi-ring,4,float,8192,mean,4.18426e-06,1.95781,2.93672,1000
mpi-ring,4,float,8192,median,3.5145e-06,2.33091,3.49637,1000
mpi-ring,4,float,8192,max,0.000124488,0.0658055,0.0987083,1000
mpi-ring,4,float,8192,stddev,5.39511e-06,1.51841,2.27762,1000
mpi-ring,4,float,16384,min,8.424e-06,1.94492,2.91738,1000
mpi-ring,4,float,16384,mean,1.08017e-05,1.5168,2.2752,1000
mpi-ring,4,float,16384,median,9.5405e-06,1.71731,2.57597,1000
mpi-ring,4,float,16384,max,0.00018794,0.0871768,0.130765,1000
mpi-ring,4,float,16384,stddev,8.59496e-06,1.90623,2.85935,1000
mpi-ring,4,float,32768,min,1.0826e-05,3.02679,4.54018,1000
mpi-ring,4,float,32768,mean,1.34211e-05,2.44153,3.66229,1000
mpi-ring,4,float,32768,median,1.1587e-05,2.828,4.242,1000
mpi-ring,4,float,32768,max,0.000119792,0.273541,0.410311,1000
mpi-ring,4,float,32768,stddev,7.44989e-06,4.39845,6.59768,1000
mpi-ring,4,float,65536,min,1.4474e-05,4.52784,6.79176,1000
mpi-ring,4,float,65536,mean,1.93117e-05,3.39359,5.09038,1000
mpi-ring,4,float,65536,median,1.70335e-05,3.84748,5.77122,1000
mpi-ring,4,float,65536,max,0.000184893,0.354454,0.53168,1000
mpi-ring,4,float,65536,stddev,1.24458e-05,5.26571,7.89857,1000
mpi-ring,4,float,131072,min,1.9834e-05,6.60845,9.91268,1000
mpi-ring,4,float,131072,mean,2.69833e-05,4.85752,7.28628,1000
mpi-ring,4,float,131072,median,2.49605e-05,5.25118,7.87677,1000
mpi-ring,4,float,131072,max,0.000421048,0.311299,0.466949,1000
mpi-ring,4,float,131072,stddev,1.52912e-05,8.57172,12.8576,1000
mpi-ring,4,float,262144,min,3.0155e-05,8.69322,13.0398,1000
mpi-ring,4,float,262144,mean,3.93236e-05,6.66633,9.9995,1000
mpi-ring,4,float,262144,median,3.52185e-05,7.44336,11.165,1000
mpi-ring,4,float,262144,max,0.000248245,1.05599,1.58398,1000
mpi-ring,4,float,262144,stddev,1.55943e-05,16.8102,25.2153,1000
mpi-ring,4,float,524288,min,8.2967e-05,6.31924,9.47885,1000
mpi-ring,4,float,524288,mean,0.000113048,4.63776,6.95664,1000
mpi-ring,4,float,524288,median,9.906e-05,5.29263,7.93895,1000
mpi-ring,4,float,524288,max,0.000394423,1.32925,1.99388,1000
mpi-ring,4,float,524288,stddev,3.67364e-05,14.2716,21.4074,1000
mpi-ring,4,float,1048576,min,9.8685e-05,10.6255,15.9382,1000
mpi-ring,4,float,1048576,mean,0.000141483,7.41132,11.117,1000
mpi-ring,4,float,1048576,median,0.000129206,8.11554,12.1733,1000
mpi-ring,4,float,1048576,max,0.000494296,2.12135,3.18203,1000
mpi-ring,4,float,1048576,stddev,4.66541e-05,22.4755,33.7133,1000
mpi-ring,4,float,2097152,min,0.000219591,9.55026,14.3254,978
mpi-ring,4,float,2097152,mean,0.000307004,6.83104,10.2466,978
mpi-ring,4,float,2097152,median,0.000281306,7.45506,11.1826,978
mpi-ring,4,float,2097152,max,0.000850132,2.46685,3.70028,978
mpi-ring,4,float,2097152,stddev,6.70707e-05,31.2678,46.9017,978
mpi-ring,4,float,4194304,min,0.000512051,8.19118,12.2868,421
mpi-ring,4,float,4194304,mean,0.000713853,5.87558,8.81338,421
mpi-ring,4,float,4194304,median,0.000656942,6.38459,9.57688,421
mpi-ring,4,float,4194304,max,0.00133542,3.14081,4.71122,421
mpi-ring,4,float,4194304,stddev,0.000143637,29.2007,43.8011,421
mpi-ring,4,float,8388608,min,0.00232614,3.60624,5.40936,109
mpi-ring,4,float,8388608,mean,0.00275378,3.04621,4.56932,109
mpi-ring,4,float,8388608,median,0.00266489,3.14782,4.72173,109
mpi-ring,4,float,8388608,max,0.00382577,2.19266,3.28899,109
mpi-ring,4,float,8388608,stddev,0.000334828,25.0535,37.5802,109
mpi-ring,4,float,16777216,min,0.00603319,2.78082,4.17123,43
mpi-ring,4,float,16777216,mean,0.00711753,2.35717,3.53575,43
mpi-ring,4,float,16777216,median,0.00692121,2.42403,3.63605,43
mpi-ring,4,float,16777216,max,0.00899738,1.86468,2.79702,43
mpi-ring,4,float,16777216,stddev,0.000649895,25.8153,38.7229,43
mpi-ring,4,float,33554432,min,0.0141049,2.37893,3.56839,21
mpi-ring,4,float,33554432,mean,0.0147554,2.27404,3.41106,21
mpi-ring,4,float,33554432,median,0.0146937,2.28359,3.42538,21
mpi-ring,4,float,33554432,max,0.0159726,2.10075,3.15112,21
mpi-ring,4,float,33554432,stddev,0.000513894,65.2945,97.9417,21
mpi-ring,4,float,67108864,min,0.0344758,1.94655,2.91983,9
mpi-ring,4,float,67108864,mean,0.0353792,1.89684,2.84526,9
mpi-ring,4,float,67108864,median,0.0352172,1.90557,2.85835,9
mpi-ring,4,float,67108864,max,0.0371656,1.80567,2.70851,9
mpi-ring,4,float,67108864,stddev,0.000835038,80.3663,120.549,9
mpi-ring,4,float,134217728,min,0.0666863,2.01267,3.01901,5
mpi-ring,4,float,134217728,mean,0.0689832,1.94566,2.91849,5
mpi-ring,4,float,134217728,median,0.0686858,1.95408,2.93112,5
mpi-ring,4,float,134217728,max,0.0734995,1.8261,2.73916,5
mpi-ring,4,float,134217728,stddev,0.00277516,48.364,72.546,5
ring,5,float,8,min,1.172e-06,0.00682594,0.0109215,1000
ring,5,float,8,mean,1.99701e-06,0.00400599,0.00640959,1000
ring,5,float,8,median,1.511e-06,0.00529451,0.00847121,1000
ring,5,float,8,max,0.000168116,4.75862e-05,7.61379e-05,1000
ring,5,float,8,stddev,7.35569e-06,0.00108759,0.00174015,1000
mpi-default,5,float,8,min,5.02e-07,0.0159363,0.025498,1000
mpi-default,5,float,8,mean,7.26852e-07,0.0110064,0.0176102,1000
mpi-default,5,float,8,median,6.5e-07,0.0123077,0.0196923,1000
mpi-default,5,float,8,max,2.6339e-05,0.000303732,0.000485971,1000
mpi-default,5,float,8,stddev,1.12726e-06,0.00709686,0.011355,1000
ring,5,float,16,min,1.393e-06,0.011486,0.0183776,1000
ring,5,float,16,mean,2.12871e-06,0.00751628,0.012026,1000
ring,5,float,16,median,1.655e-06,0.00966767,0.0154683,1000
ring,5,float,16,max,0.00028908,5.5348e-05,8.85568e-05,1000
ring,5,float,16,stddev,9.26731e-06,0.0017265,0.0027624,1000
mpi-default,5,float,16,min,6.16e-07,0.025974,0.0415584,1000
mpi-default,5,float,16,mean,9.82868e-07,0.0162789,0.0260462,1000
mpi-default,5,float,16,median,8.14e-07,0.019656,0.0314496,1000
mpi-default,5,float,16,max,3.7569e-05,0.000425883,0.000681413,1000
mpi-default,5,float,16,stddev,1.95651e-06,0.00817782,0.0130845,1000
ring,5,float,32,min,1.264e-06,0.0253165,0.0405063,1000
ring,5,float,32,mean,1.8727e-06,0.0170876,0.0273402,1000
ring,5,float,32,median,1.578e-06,0.0202788,0.0324461,1000
ring,5,float,32,max,0.000119729,0.00026727,0.000427632,1000
ring,5,float,32,stddev,4.35938e-06,0.00734049,0.0117448,1000
mpi-default,5,float,32,min,6.36e-07,0.0503145,0.0805031,1000
mpi-default,5,float,32,mean,9.17417e-07,0.0348805,0.0558089,1000
mpi-default,5,float,32,median,8.135e-07,0.0393362,0.0629379,1000
mpi-default,5,float,32,max,1.8412e-05,0.001738,0.0027808,1000
mpi-default,5,float,32,stddev,9.82842e-07,0.0325586,0.0520938,1000
ring,5,float,64,min,1.464e-06,0.0437158,0.0699454,1000
ring,5,float,64,mean,2.0225e-06,0.031644,0.0506303,1000
ring,5,float,64,median,1.752e-06,0.0365297,0.0584475,1000
ring,5,float,64,max,6.0644e-05,0.00105534,0.00168854,1000
ring,5,float,64,stddev,2.49303e-06,0.0256716,0.0410745,1000
mpi-default,5,float,64,min,5.78e-07,0.110727,0.177163,1000
mpi-default,5,float,64,mean,9.03982e-07,0.0707979,0.113277,1000
mpi-default,5,float,64,median,7.63e-07,0.0838794,0.134207,1000
mpi-default,5,float,64,max,3.2135e-05,0.0019916,0.00318656,1000
mpi-default,5,float,64,stddev,1.42808e-06,0.0448153,0.0717044,1000
ring,5,float,128,min,1.526e-06,0.0838794,0.134207,1000
ring,5,float,128,mean,2.33313e-06,0.0548619,0.0877791,1000
ring,5,float,128,median,1.978e-06,0.0647118,0.103539,1000
ring,5,float,128,max,0.000114201,0.00112083,0.00179333,1000
ring,5,float,128,stddev,4.2788e-06,0.0299149,0.0478639,1000
mpi-default,5,float,128,min,7.15e-07,0.179021,0.286434,1000
mpi-default,5,float,128,mean,1.41144e-06,0.0906876,0.1451,1000
mpi-default,5,float,128,median,8.78e-07,0.145786,0.233257,1000
mpi-default,5,float,128,max,0.000101268,0.00126397,0.00202236,1000
mpi-default,5,float,128,stddev,5.40136e-06,0.0236977,0.0379164,1000
ring,5,float,256,min,1.556e-06,0.164524,0.263239,1000
ring,5,float,256,mean,2.00749e-06,0.127522,0.204036,1000
ring,5,float,256,median,1.86e-06,0.137634,0.220215,1000
ring,5,float,256,max,2.4679e-05,0.0103732,0.0165971,1000
ring,5,float,256,stddev,1.23608e-06,0.207106,0.331369,1000
mpi-default,5,float,256,min,7.2e-07,0.355556,0.568889,1000
mpi-default,5,float,256,mean,1.2587e-06,0.203385,0.325416,1000
mpi-default,5,float,256,median,9.25e-07,0.276757,0.442811,1000
mpi-default,5,float,256,max,7.0147e-05,0.00364948,0.00583917,1000
mpi-default,5,float,256,stddev,3.02012e-06,0.0847648,0.135624,1000
ring,5,float,512,min,1.536e-06,0.333333,0.533333,1000
ring,5,float,512,mean,2.8778e-06,0.177914,0.284662,1000
ring,5,float,512,median,2.026e-06,0.252715,0.404344,1000
ring,5,float,512,max,0.000181653,0.00281856,0.0045097,1000
ring,5,float,512,stddev,8.55077e-06,0.0598777,0.0958043,1000
mpi-default,5,float,512,min,1.233e-06,0.415247,0.664396,1000
mpi-default,5,float,512,mean,1.66633e-06,0.307262,0.491619,1000
mpi-default,5,float,512,median,1.437e-06,0.356298,0.570077,1000
mpi-default,5,float,512,max,7.6619e-05,0.00668242,0.0106919,1000
mpi-default,5,float,512,stddev,3.47254e-06,0.147443,0.235908,1000
ring,5,float,1024,min,1.926e-06,0.531672,0.850675,1000
ring,5,float,1024,mean,2.65856e-06,0.385171,0.616273,1000
ring,5,float,1024,median,2.2155e-06,0.462198,0.739517,1000
ring,5,float,1024,max,8.5843e-05,0.0119288,0.019086,1000
ring,5,float,1024,stddev,4.46395e-06,0.229393,0.367029,1000
mpi-default,5,float,1024,min,1.583e-06,0.646873,1.035,1000
mpi-default,5,float,1024,mean,2.09986e-06,0.487653,0.780244,1000
mpi-default,5,float,1024,median,1.7715e-06,0.578041,0.924866,1000
mpi-default,5,float,1024,max,0.000168583,0.00607416,0.00971865,1000
mpi-default,5,float,1024,stddev,5.49588e-06,0.186321,0.298114,1000
ring,5,float,2048,min,2.768e-06,0.739884,1.18382,1000
ring,5,float,2048,mean,4.09592e-06,0.50001,0.800016,1000
ring,5,float,2048,median,3.096e-06,0.661499,1.0584,1000
ring,5,float,2048,max,0.000109363,0.0187266,0.0299626,1000
ring,5,float,2048,stddev,7.41531e-06,0.276185,0.441896,1000
mpi-default,5,float,2048,min,2.144e-06,0.955224,1.52836,1000
mpi-default,5,float,2048,mean,2.93666e-06,0.697391,1.11583,1000
mpi-default,5,float,2048,median,2.454e-06,0.834556,1.33529,1000
mpi-default,5,float,2048,max,0.000280544,0.0073001,0.0116802,1000
mpi-default,5,float,2048,stddev,9.03464e-06,0.226683,0.362693,1000
ring,5,float,4096,min,3.091e-06,1.32514,2.12022,1000
ring,5,float,4096,mean,3.7803e-06,1.08351,1.73362,1000
ring,5,float,4096,median,3.3305e-06,1.22985,1.96775,1000
ring,5,float,4096,max,5.8165e-05,0.0704204,0.112673,1000
ring,5,float,4096,stddev,3.29674e-06,1.24244,1.9879,1000
mpi-default,5,float,4096,min,7.46e-06,0.549062,0.878499,1000
mpi-default,5,float,4096,mean,8.99559e-06,0.455334,0.728535,1000
mpi-default,5,float,4096,median,7.9325e-06,0.516357,0.826171,1000
mpi-default,5,float,4096,max,0.000159859,0.0256226,0.0409961,1000
mpi-default,5,float,4096,stddev,7.75479e-06,0.52819,0.845104,1000
ring,5,float,8192,min,4.001e-06,2.04749,3.27598,1000
ring,5,float,8192,mean,5.07949e-06,1.61276,2.58042,1000
ring,5,float,8192,median,4.306e-06,1.90246,3.04394,1000
ring,5,float,8192,max,0.00021873,0.0374526,0.0599241,1000
ring,5,float,8192,stddev,8.04588e-06,1.01816,1.62906,1000
mpi-default,5,float,8192,min,9.058e-06,0.904394,1.44703,1000
mpi-default,5,float,8192,mean,1.10012e-05,0.744648,1.19144,1000
mpi-default,5,float,8192,median,9.586e-06,0.85458,1.36733,1000
mpi-default,5,float,8192,max,0.000123348,0.0664137,0.106262,1000
mpi-default,5,float,8192,stddev,7.18034e-06,1.14089,1.82543,1000
ring,5,float,16384,min,5.717e-06,2.86584,4.58534,1000
ring,5,float,16384,mean,6.86384e-06,2.387,3.8192,1000
ring,5,float,16384,median,6.1915e-06,2.64621,4.23393,1000
ring,5,float,16384,max,0.000108533,0.150959,0.241534,1000
ring,5,float,16384,stddev,5.30173e-06,3.09031,4.9445,1000
mpi-default,5,float,16384,min,1.3696e-05,1.19626,1.91402,1000
mpi-default,5,float,16384,mean,1.66813e-05,0.982175,1.57148,1000
mpi-default,5,float,16384,median,1.45985e-05,1.12231,1.79569,1000
mpi-default,5,float,16384,max,0.000405491,0.0404053,0.0646485,1000
mpi-default,5,float,16384,stddev,1.47016e-05,1.11443,1.78309,1000
ring,5,float,32768,min,1.3744e-05,2.38417,3.81467,1000
ring,5,float,32768,mean,1.75656e-05,1.86546,2.98474,1000
ring,5,float,32768,median,1.4786e-05,2.21615,3.54584,1000
ring,5,float,32768,max,0.000211019,0.155285,0.248455,1000
ring,5,float,32768,stddev,1.35044e-05,2.42647,3.88234,1000
mpi-default,5,float,32768,min,1.9341e-05,1.69422,2.71076,1000
mpi-default,5,float,32768,mean,2.28713e-05,1.43271,2.29234,1000
mpi-default,5,float,32768,median,2.04725e-05,1.60059,2.56094,1000
mpi-default,5,float,32768,max,0.000210348,0.15578,0.249248,1000
mpi-default,5,float,32768,stddev,1.22604e-05,2.67267,4.27628,1000
ring,5,float,65536,min,1.8233e-05,3.59436,5.75098,1000
ring,5,float,65536,mean,2.16954e-05,3.02074,4.83318,1000
ring,5,float,65536,median,1.9107e-05,3.42995,5.48792,1000
ring,5,float,65536,max,0.000193191,0.339229,0.542766,1000
ring,5,float,65536,stddev,1.15012e-05,5.69821,9.11713,1000
mpi-default,5,float,65536,min,2.6131e-05,2.50798,4.01277,1000
mpi-default,5,float,65536,mean,3.33695e-05,1.96395,3.14232,1000
mpi-default,5,float,65536,median,3.06645e-05,2.13719,3.41951,1000
mpi-default,5,float,65536,max,0.000214273,0.305853,0.489365,1000
mpi-default,5,float,65536,stddev,1.32095e-05,4.96126,7.93802,1000
ring,5,float,131072,min,2.3694e-05,5.53186,8.85098,1000
ring,5,float,131072,mean,2.94379e-05,4.45249,7.12398,1000
ring,5,float,131072,median,2.5219e-05,5.19735,8.31576,1000
ring,5,float,131072,max,0.000172684,0.759028,1.21444,1000
ring,5,float,131072,stddev,1.3478e-05,9.72488,15.5598,1000
mpi-default,5,float,131072,min,3.9567e-05,3.31266,5.30026,1000
mpi-default,5,float,131072,mean,4.61802e-05,2.83828,4.54124,1000
mpi-default,5,float,131072,median,4.2044e-05,3.1175,4.98799,1000
mpi-default,5,float,131072,max,0.000416251,0.314887,0.503819,1000
mpi-default,5,float,131072,stddev,1.79127e-05,7.31727,11.7076,1000
ring,5,float,262144,min,3.5557e-05,7.3725,11.796,1000
ring,5,float,262144,mean,4.22979e-05,6.19756,9.9161,1000
ring,5,float,262144,median,3.785e-05,6.92587,11.0814,1000
ring,5,float,262144,max,0.00022605,1.15967,1.85548,1000
ring,5,float,262144,stddev,1.44407e-05,18.1531,29.045,1000
mpi-default,5,float,262144,min,6.9375e-05,3.77865,6.04584,1000
mpi-default,5,float,262144,mean,8.3456e-05,3.1411,5.02577,1000
mpi-default,5,float,262144,median,7.8092e-05,3.35686,5.37098,1000
mpi-default,5,float,262144,max,0.000527161,0.497275,0.79564,1000
mpi-default,5,float,262144,stddev,2.37391e-05,11.0427,17.6683,1000
ring,5,float,524288,min,5.9906e-05,8.75184,14.003,1000
ring,5,float,524288,mean,7.58378e-05,6.91328,11.0613,1000
ring,5,float,524288,median,6.7113e-05,7.81202,12.4992,1000
ring,5,float,524288,max,0.000414493,1.26489,2.02382,1000
ring,5,float,524288,stddev,2.78724e-05,18.8103,30.0965,1000
mpi-default,5,float,524288,min,0.000124308,4.21765,6.74824,1000
mpi-default,5,float,524288,mean,0.000150601,3.4813,5.57008,1000
mpi-default,5,float,524288,median,0.000143549,3.65233,5.84372,1000
mpi-default,5,float,524288,max,0.000491392,1.06694,1.70711,1000
mpi-default,5,float,524288,stddev,3.24299e-05,16.1668,25.8669,1000
ring,5,float,1048576,min,0.000109369,9.58751,15.34,1000
ring,5,float,1048576,mean,0.000137046,7.65128,12.242,1000
ring,5,float,1048576,median,0.000123326,8.50244,13.6039,1000
ring,5,float,1048576,max,0.000545623,1.9218,3.07487,1000
ring,5,float,1048576,stddev,3.9828e-05,26.3276,42.1242,1000
mpi-default,5,float,1048576,min,0.000231439,4.53068,7.24909,1000
mpi-default,5,float,1048576,mean,0.000278631,3.76331,6.0213,1000
mpi-default,5,float,1048576,median,0.000260288,4.02853,6.44565,1000
mpi-default,5,float,1048576,max,0.000746407,1.40483,2.24773,1000
mpi-default,5,float,1048576,stddev,4.91689e-05,21.326,34.1216,1000
ring,5,float,2097152,min,0.000225388,9.30463,14.8874,1000
ring,5,float,2097152,mean,0.00027947,7.50403,12.0065,1000
ring,5,float,2097152,median,0.000257417,8.14691,13.035,1000
ring,5,float,2097152,max,0.000706943,2.96651,4.74641,1000
ring,5,float,2097152,stddev,6.04075e-05,34.7167,55.5468,1000
mpi-default,5,float,2097152,min,0.000504325,4.15833,6.65334,497
mpi-default,5,float,2097152,mean,0.000603883,3.47278,5.55645,497
mpi-default,5,float,2097152,median,0.000587804,3.56777,5.70844,497
mpi-default,5,float,2097152,max,0.00106984,1.96024,3.13638,497
mpi-default,5,float,2097152,stddev,6.8767e-05,30.4965,48.7944,497
ring,5,float,4194304,min,0.000480173,8.73499,13.976,493
ring,5,float,4194304,mean,0.00060866,6.89104,11.0257,493
ring,5,float,4194304,median,0.000573765,7.31014,11.6962,493
ring,5,float,4194304,max,0.00116013,3.61538,5.7846,493
ring,5,float,4194304,stddev,0.000113652,36.9048,59.0476,493
mpi-default,5,float,4194304,min,0.00121658,3.44761,5.51617,188
mpi-default,5,float,4194304,mean,0.00160445,2.61417,4.18268,188
mpi-default,5,float,4194304,median,0.00157328,2.66595,4.26553,188
mpi-default,5,float,4194304,max,0.00219743,1.90873,3.05397,188
mpi-default,5,float,4194304,stddev,0.000195007,21.5085,34.4136,188
ring,5,float,8388608,min,0.00209683,4.00062,6.40099,119
ring,5,float,8388608,mean,0.00253893,3.304,5.2864,119
ring,5,float,8388608,median,0.00250273,3.35179,5.36286,119
ring,5,float,8388608,max,0.00374073,2.2425,3.58801,119
ring,5,float,8388608,stddev,0.000276035,30.3896,48.6234,119
mpi-default,5,float,8388608,min,0.00441218,1.90124,3.04198,58
mpi-default,5,float,8388608,mean,0.00518019,1.61936,2.59098,58
mpi-default,5,float,8388608,median,0.00507985,1.65135,2.64216,58
mpi-default,5,float,8388608,max,0.0063849,1.31382,2.10211,58
mpi-default,5,float,8388608,stddev,0.000398893,21.0297,33.6476,58
ring,5,float,16777216,min,0.00596293,2.81359,4.50174,44
ring,5,float,16777216,mean,0.0068664,2.44338,3.9094,44
ring,5,float,16777216,median,0.00678718,2.4719,3.95503,44
ring,5,float,16777216,max,0.00867628,1.93369,3.0939,44
ring,5,float,16777216,stddev,0.000529123,31.7076,50.7322,44
mpi-default,5,float,16777216,min,0.010689,1.56958,2.51132,26
mpi-default,5,float,16777216,mean,0.0119734,1.40121,2.24193,26
mpi-default,5,float,16777216,median,0.011956,1.40325,2.24519,26
mpi-default,5,float,16777216,max,0.0127168,1.3193,2.11087,26
mpi-default,5,float,16777216,stddev,0.000483569,34.6946,55.5113,26
ring,5,float,33554432,min,0.0156908,2.13847,3.42156,18
ring,5,float,33554432,mean,0.0167009,2.00914,3.21463,18
ring,5,float,33554432,median,0.0164033,2.0456,3.27295,18
ring,5,float,33554432,max,0.0188072,1.78412,2.8546,18
ring,5,float,33554432,stddev,0.00089888,37.3292,59.7266,18
mpi-default,5,float,33554432,min,0.0279486,1.20058,1.92092,11
mpi-default,5,float,33554432,mean,0.0293951,1.1415,1.8264,11
mpi-default,5,float,33554432,median,0.0292092,1.14876,1.83802,11
mpi-default,5,float,33554432,max,0.0312672,1.07315,1.71704,11
mpi-default,5,float,33554432,stddev,0.00108413,30.9506,49.5209,11
ring,5,float,67108864,min,0.0317378,2.11448,3.38317,10
ring,5,float,67108864,mean,0.0324688,2.06687,3.30699,10
ring,5,float,67108864,median,0.0325124,2.0641,3.30256,10
ring,5,float,67108864,max,0.0331416,2.02491,3.23986,10
ring,5,float,67108864,stddev,0.000460708,145.665,233.064,10
mpi-default,5,float,67108864,min,0.0565768,1.18615,1.89785,6
mpi-default,5,float,67108864,mean,0.0582896,1.1513,1.84208,6
mpi-default,5,float,67108864,median,0.0582398,1.15229,1.84366,6
mpi-default,5,float,67108864,max,0.0602668,1.11353,1.78165,6
mpi-default,5,float,67108864,stddev,0.00133008,50.4547,80.7275,6
ring,5,float,134217728,min,0.0619678,2.16593,3.46548,5
ring,5,float,134217728,mean,0.0634123,2.11659,3.38654,5
ring,5,float,134217728,median,0.063465,2.11483,3.38373,5
ring,5,float,134217728,max,0.0648825,2.06863,3.3098,5
ring,5,float,134217728,stddev,0.00120408,111.469,178.35,5
mpi-default,5,float,134217728,min,0.112672,1.19123,1.90597,3
mpi-default,5,float,134217728,mean,0.115107,1.16602,1.86563,3
mpi-default,5,float,134217728,median,0.115509,1.16196,1.85914,3
mpi-default,5,float,134217728,max,0.117142,1.14577,1.83324,3
mpi-default,5,float,134217728,stddev,0.00226189,59.3389,94.9422,3
mpi-ring,5,float,8,min,4.61e-07,0.0173536,0.0277657,1000
mpi-ring,5,float,8,mean,9.91492e-07,0.00806865,0.0129098,1000
mpi-ring,5,float,8,median,6.43e-07,0.0124417,0.0199067,1000
mpi-ring,5,float,8,max,2.5609e-05,0.00031239,0.000499824,1000
mpi-ring,5,float,8,stddev,1.7813e-06,0.0044911,0.00718575,1000
mpi-ring,5,float,16,min,5.7e-07,0.0280702,0.0449123,1000
mpi-ring,5,float,16,mean,1.0487e-06,0.015257,0.0244112,1000
mpi-ring,5,float,16,median,7.825e-07,0.0204473,0.0327157,1000
mpi-ring,5,float,16,max,0.000128809,0.000124215,0.000198744,1000
mpi-ring,5,float,16,stddev,4.5638e-06,0.00350585,0.00560936,1000
mpi-ring,5,float,32,min,1.361e-06,0.0235121,0.0376194,1000
mpi-ring,5,float,32,mean,2.19445e-06,0.0145822,0.0233316,1000
mpi-ring,5,float,32,median,1.7035e-06,0.0187849,0.0300558,1000
mpi-ring,5,float,32,max,0.000211447,0.000151338,0.000242141,1000
mpi-ring,5,float,32,stddev,7.11345e-06,0.00449852,0.00719763,1000
mpi-ring,5,float,64,min,1.437e-06,0.0445372,0.0712596,1000
mpi-ring,5,float,64,mean,1.99909e-06,0.0320145,0.0512232,1000
mpi-ring,5,float,64,median,1.763e-06,0.0363018,0.0580828,1000
mpi-ring,5,float,64,max,4.5042e-05,0.0014209,0.00227343,1000
mpi-ring,5,float,64,stddev,2.19633e-06,0.0291395,0.0466232,1000
mpi-ring,5,float,128,min,1.572e-06,0.0814249,0.13028,1000
mpi-ring,5,float,128,mean,3.65769e-06,0.0349948,0.0559917,1000
mpi-ring,5,float,128,median,2.06e-06,0.0621359,0.0994175,1000
mpi-ring,5,float,128,max,0.000312221,0.000409966,0.000655946,1000
mpi-ring,5,float,128,stddev,1.26299e-05,0.0101346,0.0162154,1000
mpi-ring,5,float,256,min,1.628e-06,0.157248,0.251597,1000
mpi-ring,5,float,256,mean,2.18265e-06,0.117289,0.187662,1000
mpi-ring,5,float,256,median,1.9095e-06,0.134067,0.214506,1000
mpi-ring,5,float,256,max,6.5359e-05,0.00391683,0.00626693,1000
mpi-ring,5,float,256,stddev,2.91576e-06,0.0877988,0.140478,1000
mpi-ring,5,float,512,min,1.717e-06,0.298195,0.477111,1000
mpi-ring,5,float,512,mean,2.346e-06,0.218243,0.34919,1000
mpi-ring,5,float,512,median,2.0675e-06,0.247642,0.396227,1000
mpi-ring,5,float,512,max,6.429e-05,0.00796391,0.0127423,1000
