algorithm,num_procs,dtype,message_size_bytes,time_stat,time_seconds,algbw_GBps,busbw_GBps,num_reps
mpi-default,2,float,1024,stddev,1.95959e-07,5.22559,5.22559,1000
ring,2,float,2048,min,7.61e-07,2.6912,2.6912,1000
ring,2,float,2048,mean,8.73134e-07,2.34557,2.34557,1000
ring,2,float,2048,median,8.49e-07,2.41225,2.41225,1000
ring,2,float,2048,max,1.0411e-05,0.196715,0.196715,1000
ring,2,float,2048,stddev,3.71775e-07,5.50871,5.50871,1000
mpi-default,2,float,2048,min,5.63e-07,3.63766,3.63766,1000
mpi-default,2,float,2048,mean,7.79529e-07,2.62723,2.62723,1000
mpi-default,2,float,2048,median,6.54e-07,3.1315,3.1315,1000
mpi-default,2,float,2048,max,2.3503e-05,0.0871378,0.0871378,1000
mpi-default,2,float,2048,stddev,1.26049e-06,1.62477,1.62477,1000
ring,2,float,4096,min,1.064e-06,3.84962,3.84962,1000
ring,2,float,4096,mean,1.22361e-06,3.34746,3.34746,1000
ring,2,float,4096,median,1.1935e-06,3.43192,3.43192,1000
ring,2,float,4096,max,1.1182e-05,0.366303,0.366303,1000
ring,2,float,4096,stddev,4.52579e-07,9.05035,9.05035,1000
mpi-default,2,float,4096,min,1.057e-06,3.87512,3.87512,1000
mpi-default,2,float,4096,mean,1.20745e-06,3.39228,3.39228,1000
mpi-default,2,float,4096,median,1.1485e-06,3.56639,3.56639,1000
mpi-default,2,float,4096,max,2.0669e-05,0.198171,0.198171,1000
mpi-default,2,float,4096,stddev,7.6339e-07,5.36554,5.36554,1000
ring,2,float,8192,min,2.614e-06,3.13389,3.13389,1000
ring,2,float,8192,mean,2.97973e-06,2.74925,2.74925,1000
ring,2,float,8192,median,2.8485e-06,2.8759,2.8759,1000
ring,2,float,8192,max,3.9016e-05,0.209965,0.209965,1000
ring,2,float,8192,stddev,1.4479e-06,5.65784,5.65784,1000
mpi-default,2,float,8192,min,2.54e-06,3.2252,3.2252,1000
mpi-default,2,float,8192,mean,2.85467e-06,2.86968,2.86968,1000
mpi-default,2,float,8192,median,2.724e-06,3.00734,3.00734,1000
mpi-default,2,float,8192,max,5.9705e-05,0.137208,0.137208,1000
mpi-default,2,float,8192,stddev,1.92274e-06,4.26059,4.26059,1000
ring,2,float,16384,min,3.59e-06,4.56379,4.56379,1000
ring,2,float,16384,mean,4.01142e-06,4.08434,4.08434,1000
ring,2,float,16384,median,3.864e-06,4.24017,4.24017,1000
ring,2,float,16384,max,3.5212e-05,0.465296,0.465296,1000
ring,2,float,16384,stddev,1.67835e-06,9.76194,9.76194,1000
mpi-default,2,float,16384,min,3.465e-06,4.72843,4.72843,1000
mpi-default,2,float,16384,mean,3.96107e-06,4.13626,4.13626,1000
mpi-default,2,float,16384,median,3.728e-06,4.39485,4.39485,1000
mpi-default,2,float,16384,max,2.8446e-05,0.575969,0.575969,1000
mpi-default,2,float,16384,stddev,1.57574e-06,10.3977,10.3977,1000
ring,2,float,32768,min,4.755e-06,6.89127,6.89127,1000
ring,2,float,32768,mean,5.3633e-06,6.10967,6.10967,1000
ring,2,float,32768,median,5.109e-06,6.41378,6.41378,1000
ring,2,float,32768,max,6.4213e-05,0.510302,0.510302,1000
ring,2,float,32768,stddev,2.56273e-06,12.7864,12.7864,1000
mpi-default,2,float,32768,min,5e-06,6.5536,6.5536,1000
mpi-default,2,float,32768,mean,5.5789e-06,5.87356,5.87356,1000
mpi-default,2,float,32768,median,5.2655e-06,6.22315,6.22315,1000
mpi-default,2,float,32768,max,4.0536e-05,0.808368,0.808368,1000
mpi-default,2,float,32768,stddev,2.21301e-06,14.807,14.807,1000
ring,2,float,65536,min,7.317e-06,8.95668,8.95668,1000
ring,2,float,65536,mean,8.13199e-06,8.05904,8.05904,1000
ring,2,float,65536,median,7.7055e-06,8.50509,8.50509,1000
ring,2,float,65536,max,4.0071e-05,1.6355,1.6355,1000
ring,2,float,65536,stddev,2.16962e-06,30.2063,30.2063,1000
mpi-default,2,float,65536,min,7.111e-06,9.21614,9.21614,1000
mpi-default,2,float,65536,mean,8.25026e-06,7.94351,7.94351,1000
mpi-default,2,float,65536,median,7.813e-06,8.38807,8.38807,1000
mpi-default,2,float,65536,max,4.9825e-05,1.31532,1.31532,1000
mpi-default,2,float,65536,stddev,2.38364e-06,27.4941,27.4941,1000
ring,2,float,131072,min,1.0005e-05,13.1006,13.1006,1000
ring,2,float,131072,mean,1.10063e-05,11.9088,11.9088,1000
ring,2,float,131072,median,1.0606e-05,12.3583,12.3583,1000
ring,2,float,131072,max,4.1986e-05,3.1218,3.1218,1000
ring,2,float,131072,stddev,2.04015e-06,64.2461,64.2461,1000
mpi-default,2,float,131072,min,1.0003e-05,13.1033,13.1033,1000
mpi-default,2,float,131072,mean,1.11609e-05,11.7438,11.7438,1000
mpi-default,2,float,131072,median,1.06535e-05,12.3032,12.3032,1000
mpi-default,2,float,131072,max,8.5146e-05,1.53938,1.53938,1000
mpi-default,2,float,131072,stddev,3.81109e-06,34.3922,34.3922,1000
ring,2,float,262144,min,1.7485e-05,14.9925,14.9925,1000
ring,2,float,262144,mean,1.95979e-05,13.3762,13.3762,1000
ring,2,float,262144,median,1.84485e-05,14.2095,14.2095,1000
ring,2,float,262144,max,0.000115109,2.27735,2.27735,1000
ring,2,float,262144,stddev,6.16671e-06,42.5095,42.5095,1000
mpi-default,2,float,262144,min,1.6888e-05,15.5225,15.5225,1000
mpi-default,2,float,262144,mean,1.89809e-05,13.8109,13.8109,1000
mpi-default,2,float,262144,median,1.7715e-05,14.7979,14.7979,1000
mpi-default,2,float,262144,max,0.000208495,1.25732,1.25732,1000
mpi-default,2,float,262144,stddev,8.11376e-06,32.3086,32.3086,1000
ring,2,float,524288,min,3.0848e-05,16.9959,16.9959,1000
ring,2,float,524288,mean,3.50153e-05,14.9731,14.9731,1000
ring,2,float,524288,median,3.2511e-05,16.1265,16.1265,1000
ring,2,float,524288,max,0.000151795,3.45392,3.45392,1000
ring,2,float,524288,stddev,1.02671e-05,51.0649,51.0649,1000
mpi-default,2,float,524288,min,3.1792e-05,16.4912,16.4912,1000
mpi-default,2,float,524288,mean,3.58945e-05,14.6063,14.6063,1000
mpi-default,2,float,524288,median,3.33755e-05,15.7088,15.7088,1000
mpi-default,2,float,524288,max,0.000217866,2.40647,2.40647,1000
mpi-default,2,float,524288,stddev,1.15755e-05,45.293,45.293,1000
ring,2,float,1048576,min,6.1865e-05,16.9494,16.9494,1000
ring,2,float,1048576,mean,6.86655e-05,15.2708,15.2708,1000
ring,2,float,1048576,median,6.52765e-05,16.0636,16.0636,1000
ring,2,float,1048576,max,0.000222087,4.72147,4.72147,1000
ring,2,float,1048576,stddev,1.14801e-05,91.3385,91.3385,1000
mpi-default,2,float,1048576,min,6.2144e-05,16.8733,16.8733,1000
mpi-default,2,float,1048576,mean,6.91241e-05,15.1695,15.1695,1000
mpi-default,2,float,1048576,median,6.55475e-05,15.9972,15.9972,1000
mpi-default,2,float,1048576,max,0.000288579,3.63358,3.63358,1000
mpi-default,2,float,1048576,stddev,1.40526e-05,74.6178,74.6178,1000
